City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Samarai,PG,2021-12-23 05:00:41,-10.6167,150.6667,84.25,73,38,8.03
108,Dzaoudzi,YT,2021-12-23 05:00:42,-12.7887,45.2699,84.09,79,20,2.3
109,Kurumkan,RU,2021-12-23 05:00:43,54.3,110.3,-16.06,89,16,1.43
110,Tuktoyaktuk,CA,2021-12-23 05:00:43,69.4541,-133.0374,-5.55,85,100,13.02
111,Pacific Grove,US,2021-12-23 05:00:43,36.6177,-121.9166,59.11,91,90,5.01
112,Upernavik,GL,2021-12-23 05:00:44,72.7868,-56.1549,21.47,66,57,3.02
113,Ayolas,PY,2021-12-23 05:00:45,-27.4,-56.9,78.87,34,100,8.75
114,Kulhudhuffushi,MV,2021-12-23 05:00:45,6.6221,73.07,80.44,70,89,6.44
115,Nouakchott,MR,2021-12-23 05:00:46,18.0858,-15.9785,60.73,37,0,12.82
116,Bulawayo,ZW,2021-12-23 05:00:46,-20.15,28.5833,65.86,94,100,8.41
117,Okhotsk,RU,2021-12-23 05:00:47,59.3833,143.3,5.63,74,100,15.61
118,Alibag,IN,2021-12-23 05:00:47,18.6411,72.8792,78.87,56,0,3.18
119,Broken Hill,AU,2021-12-23 05:00:48,-31.95,141.4333,90.12,16,99,9.26
120,Ponta Do Sol,PT,2021-12-23 05:00:48,32.6667,-17.1,67.01,88,100,7.38
121,Kavieng,PG,2021-12-23 05:00:49,-2.5744,150.7967,83.95,76,100,8.95
122,Vesele,UA,2021-12-23 05:00:49,47.0148,34.915,14.63,81,70,5.88
123,Alice Springs,AU,2021-12-23 05:00:49,-23.7,133.8833,98.15,19,98,12.66
124,Leh,IN,2021-12-23 05:00:50,34.1667,77.5833,15.08,91,100,1.79
125,Misterbianco,IT,2021-12-23 05:00:51,37.5341,14.9538,53.06,84,40,1.99
126,Saint-Philippe,RE,2021-12-23 05:00:51,-21.3585,55.7679,85.21,79,94,7.29
127,Maldonado,UY,2021-12-23 05:00:52,-34.6667,-54.9167,62.22,94,0,1.21
128,Pangody,RU,2021-12-23 05:00:53,65.85,74.4859,17.56,91,100,24.61
129,Marzuq,YE,2021-12-23 05:00:53,14.4,46.4667,68.41,30,5,4.09
130,Sakaiminato,JP,2021-12-23 05:00:53,35.55,133.2333,54.37,58,99,8.32
131,Lavrentiya,RU,2021-12-23 05:00:54,65.5833,-171.0,-2.27,96,100,7.2
132,Broome,US,2021-12-23 05:00:54,42.2506,-75.833,28.17,75,90,5.01
133,Teeli,RU,2021-12-23 05:00:55,51.0333,90.2333,4.5,89,22,2.04
134,Iluppur,IN,2021-12-23 05:01:55,10.5135,78.6236,78.15,57,7,7.36
135,Matara,LK,2021-12-23 05:01:56,5.9485,80.5353,83.37,68,90,3.71
136,Sulangan,PH,2021-12-23 05:01:57,11.1373,123.7228,81.28,72,20,10.58
137,Havelock,US,2021-12-23 04:59:47,34.8791,-76.9013,44.92,84,0,11.3
138,Saldanha,ZA,2021-12-23 05:01:57,-33.0117,17.9442,63.93,90,51,7.63
139,Nikita,UA,2021-12-23 05:01:58,44.5333,34.2333,14.14,74,49,8.9
140,Vieste,IT,2021-12-23 05:01:58,41.8825,16.175,50.5,71,35,5.66
141,Iqaluit,CA,2021-12-23 05:01:59,63.7506,-68.5145,-10.91,98,40,4.68
142,Ribeira Grande,PT,2021-12-23 05:01:59,38.5167,-28.7,59.63,71,42,36.17
143,Buchanan,LR,2021-12-23 05:01:59,5.8808,-10.0467,76.44,88,19,3.47
144,Davila,PH,2021-12-23 05:02:00,18.4726,120.5763,81.88,76,93,13.06
145,Ayagoz,KZ,2021-12-23 05:02:01,47.9714,80.4392,31.06,76,84,8.93
146,Port Blair,IN,2021-12-23 05:02:01,11.6667,92.75,81.19,66,68,8.32
147,Severo-Yeniseyskiy,RU,2021-12-23 05:02:02,60.3725,93.0408,-8.77,88,23,4.59
148,Northam,GB,2021-12-23 05:02:02,51.0333,-4.2167,52.68,92,100,16.44
149,Luderitz,NA,2021-12-23 05:02:02,-26.6481,15.1594,62.73,77,21,2.46
150,Ponta Delgada,PT,2021-12-23 05:02:03,37.7333,-25.6667,63.32,63,75,29.93
151,Pangkalanbuun,ID,2021-12-23 05:02:03,-2.6833,111.6167,90.05,57,98,3.71
152,Salalah,OM,2021-12-23 05:02:03,17.0151,54.0924,78.13,33,0,4.38
153,Port Lincoln,AU,2021-12-23 05:02:04,-34.7333,135.8667,67.89,60,14,14.07
154,Mende,FR,2021-12-23 05:02:05,44.6667,3.5,32.56,98,100,5.75
155,Leningradskiy,RU,2021-12-23 05:02:05,69.3833,178.4167,-15.54,97,100,10.56
156,Savinka,RU,2021-12-23 05:02:05,50.0785,47.0994,3.07,91,46,10.29
157,Binzhou,CN,2021-12-23 05:02:06,37.3667,118.0167,46.27,64,99,8.34
158,Olafsvik,IS,2021-12-23 05:02:06,64.8945,-23.7142,33.37,74,4,12.28
159,Bouca,CF,2021-12-23 05:02:07,6.5105,18.2733,76.68,33,100,3.8
160,Ca Mau,VN,2021-12-23 05:02:07,9.1769,105.15,79.32,82,100,7.63
161,Aswan,EG,2021-12-23 05:02:07,24.0934,32.907,49.62,69,25,7.74
162,Provideniya,RU,2021-12-23 05:02:08,64.3833,-173.3,2.12,97,100,10.42
163,Harper,LR,2021-12-23 05:02:08,4.375,-7.7169,78.94,80,59,2.13
164,Sao Jose Da Coroa Grande,BR,2021-12-23 05:02:09,-8.8978,-35.1478,78.12,84,87,8.32
165,Ucluelet,CA,2021-12-23 05:02:09,48.9329,-125.5528,39.09,92,100,1.03
166,Beringovskiy,RU,2021-12-23 05:02:10,63.05,179.3167,2.34,94,100,17.27
167,Rawson,AR,2021-12-23 05:01:17,-43.3002,-65.1023,65.97,56,0,12.17
168,Tanout,NE,2021-12-23 05:02:10,14.9709,8.8879,57.67,21,66,11.68
169,Fram,PY,2021-12-23 05:02:11,-26.9833,-55.8833,76.5,37,96,6.87
170,Dikson,RU,2021-12-23 05:02:11,73.5069,80.5464,3.67,89,100,20.62
171,Kizukuri,JP,2021-12-23 05:02:12,40.8061,140.3861,35.11,51,100,16.2
172,Marau,BR,2021-12-23 04:57:50,-28.4492,-52.2,54.55,90,43,4.36
173,Vaini,TO,2021-12-23 05:02:12,-21.2,-175.2,80.92,67,43,11.56
174,Teacapan,MX,2021-12-23 05:02:13,22.55,-105.75,67.01,72,56,2.84
