City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Kon Tum,VN,73.96,clear sky,14.35,108.0,Hoa đà spa- homestay
376,Banjarmasin,ID,86.14,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
377,Pilar,BR,75.13,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
379,Kavieng,PG,84.07,broken clouds,-2.5744,150.7967,Nusa Island Retreat
380,Makakilo City,US,79.12,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
383,Pochutla,MX,77.85,clear sky,15.7432,-96.4661,Hotel Posada San Jose
389,Inongo,CD,70.75,overcast clouds,-1.95,18.2667,Hotel Du Lac
391,Baliuag,PH,84.2,broken clouds,14.9333,120.8833,Amore Apartelle
392,Turbaco,CO,76.75,few clouds,10.3294,-75.4114,Apartamento Cartagena Edificio Conquistador
400,Pemangkat,ID,81.0,few clouds,1.1667,108.9667,Ramah Kost KITA
403,Roxana,CR,79.32,clear sky,10.2753,-83.7513,3BYES1
404,Kawalu,ID,80.55,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
405,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
407,Kourou,GF,77.11,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
408,Laminusa,PH,81.07,moderate rain,5.5549,120.9136,Laminusa Port
410,Hualmay,PE,70.18,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
411,Carutapera,BR,75.0,scattered clouds,-1.195,-46.02,Lidera
413,Luganville,VU,85.17,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
422,Puntarenas,CR,80.53,clear sky,9.9763,-84.8384,Michael's Surfside Hotel
428,Angoche,MZ,77.59,overcast clouds,-16.2325,39.9086,Guest House HESADA
429,Lokoja,NG,75.42,overcast clouds,7.8024,6.743,Hotel Charvid
437,Santo Antonio,BR,80.56,scattered clouds,-6.3106,-35.4789,Hotel Onça Puma
438,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
444,Sijunjung,ID,78.17,few clouds,-0.6876,100.9537,Hotel Bukik Gadang
448,Luis Correia,BR,80.6,broken clouds,-2.8792,-41.6669,Hotel Amarração
467,Port Macquarie,AU,80.56,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
468,Saint-Georges,GD,74.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
470,Yenagoa,NG,76.42,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
476,Byron Bay,AU,80.87,few clouds,-28.65,153.6167,Backpackers Inn
487,Ballina,AU,80.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
490,Chancay,PE,75.33,overcast clouds,-11.5714,-77.2672,Hotel Madre Perla
492,Mandera,KE,78.42,broken clouds,3.9366,41.867,Mwalimu Guest mandera
497,Galle,LK,79.11,overcast clouds,6.0367,80.217,Amangalla
