City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Phanat Nikhom,TH,13.4458,101.1844,84.11,91,88,6.2,overcast clouds
118,Sibolga,ID,1.7427,98.7792,81.28,70,39,1.14,scattered clouds
119,Butaritari,KI,3.0707,172.7902,82.89,58,100,6.98,overcast clouds
120,Ribeira Grande,PT,38.5167,-28.7,60.82,74,74,14.61,broken clouds
121,Rawson,AR,-43.3002,-65.1023,60.49,59,1,16.26,clear sky
122,Acapulco,MX,16.8634,-99.8901,78.62,83,1,0.0,clear sky
123,Xingyi,CN,24.1877,102.817,51.49,73,0,2.93,clear sky
124,Bartica,GY,6.4,-58.6167,73.72,94,36,2.42,scattered clouds
125,Klaksvik,FO,62.2266,-6.589,34.72,69,100,29.59,light rain
126,Merritt Island,US,28.5392,-80.672,68.09,86,90,0.0,overcast clouds
127,Nalgonda,IN,17.05,79.2667,64.56,87,60,2.71,broken clouds
128,Champerico,GT,14.3,-91.9167,81.03,72,0,4.97,clear sky
129,Tessalit,ML,20.1986,1.0114,59.72,27,0,8.7,clear sky
130,Bethel,US,41.3712,-73.414,32.31,67,1,5.75,clear sky
131,Srednekolymsk,RU,67.45,153.6833,-11.63,98,100,2.98,light snow
132,Kurilsk,RU,45.2333,147.8833,28.35,86,100,33.44,snow
133,Orlik,RU,52.5178,99.825,-9.54,90,20,1.99,few clouds
134,Manggar,ID,-2.8833,108.2667,84.18,66,28,5.01,scattered clouds
135,Lebu,CL,-37.6167,-73.65,56.12,80,3,19.57,clear sky
136,Sur,OM,22.5667,59.5289,71.92,66,96,13.27,overcast clouds
137,Leningradskiy,RU,69.3833,178.4167,18.1,82,99,1.99,overcast clouds
138,Menongue,AO,-14.6585,17.691,62.24,95,100,3.29,overcast clouds
139,Hovd,MN,48.0056,91.6419,-2.4,79,99,1.43,overcast clouds
140,Esperance,AU,-33.8667,121.9,71.98,52,23,15.41,few clouds
141,Cordoba,AR,-31.4135,-64.1811,77.76,59,0,4.0,clear sky
142,Tarnos,FR,43.5417,-1.4628,51.82,76,75,12.66,broken clouds
143,Mar Del Plata,AR,-38.0023,-57.5575,65.08,67,20,1.99,few clouds
144,Vigia Del Fuerte,CO,6.5789,-76.8863,73.65,97,76,0.74,broken clouds
145,Chicama,PE,-7.8447,-79.1469,64.94,74,92,5.23,overcast clouds
146,Sajanan,TN,37.0573,9.2426,47.32,43,0,6.2,clear sky
147,Finnsnes,NO,69.2296,17.9811,21.16,96,100,1.81,light snow
148,Bubaque,GW,11.2833,-15.8333,79.47,71,3,6.71,clear sky
149,Caarapo,BR,-22.6342,-54.8222,70.74,91,55,6.29,broken clouds
150,Grafton,US,42.207,-71.6856,27.46,61,1,3.0,clear sky
151,Flinders,AU,-34.5833,150.8552,79.81,72,60,8.46,broken clouds
152,Iranshahr,IR,27.2025,60.6848,50.34,93,0,6.91,mist
153,Goderich,CA,43.7501,-81.7165,32.92,69,100,11.5,overcast clouds
154,Tuy Hoa,VN,13.0833,109.3,75.83,84,82,5.79,broken clouds
155,Alice Springs,AU,-23.7,133.8833,90.95,12,0,11.5,clear sky
156,Vostok,RU,46.4856,135.8833,-4.76,82,4,2.98,clear sky
157,Sao Filipe,CV,14.8961,-24.4956,73.47,64,100,5.23,overcast clouds
158,Rio Grande,BR,-32.035,-52.0986,71.49,91,98,9.95,overcast clouds
159,Torbay,CA,47.6666,-52.7314,15.58,86,90,21.85,light shower snow
160,Turukhansk,RU,65.8167,87.9833,22.26,96,100,16.4,light snow
161,Moose Factory,CA,51.2585,-80.6094,-14.82,76,40,4.61,scattered clouds
162,Portland,US,45.5234,-122.6762,46.45,94,90,1.01,light rain
163,Brownsville,US,25.9018,-97.4975,64.09,80,1,4.61,clear sky
164,Paita,PE,-5.0892,-81.1144,68.56,78,85,12.46,overcast clouds
165,Ust-Maya,RU,60.4167,134.5333,-41.51,99,63,0.67,broken clouds
166,Tazovskiy,RU,67.4667,78.7,-9.72,92,68,16.93,broken clouds
167,Chuy,UY,-33.6971,-53.4616,68.68,87,100,16.67,moderate rain
168,Langsa,ID,4.4683,97.9683,77.36,87,38,4.41,scattered clouds
169,Singaraja,ID,-8.112,115.0882,79.97,75,100,4.41,overcast clouds
170,Rusne,LT,55.2964,21.3758,39.29,90,100,17.56,overcast clouds
171,Ancud,CL,-41.8697,-73.8203,53.13,83,40,5.35,scattered clouds
172,Jinchang,CN,38.4953,102.1739,21.6,49,37,0.74,scattered clouds
173,Talnakh,RU,69.4865,88.3972,11.21,92,100,16.02,light snow
174,Abu Samrah,SY,35.3029,37.1841,49.32,91,10,6.42,clear sky
175,Carnarvon,AU,-24.8667,113.6333,87.87,62,0,16.11,clear sky
176,Gravdal,NO,68.1214,13.5031,32.02,64,100,27.36,light snow
177,Inuvik,CA,68.3499,-133.7218,-25.02,94,16,11.25,few clouds
178,Te Anau,NZ,-45.4167,167.7167,69.85,57,17,7.14,few clouds
179,Atuona,PF,-9.8,-139.0333,78.94,71,9,16.2,clear sky
180,Somogyvar,HU,46.5814,17.6629,49.51,74,100,20.51,overcast clouds
181,Ahipara,NZ,-35.1667,173.1667,75.51,58,99,12.06,overcast clouds
182,Rockland,US,41.1668,-74.0496,32.63,71,66,5.7,broken clouds
183,Tura,IN,25.5198,90.2201,59.61,64,2,3.02,clear sky
184,Siniscola,IT,40.5719,9.6922,53.15,63,100,7.23,overcast clouds
185,Cherskiy,RU,68.75,161.3,3.34,98,100,5.59,overcast clouds
186,Leca Da Palmeira,PT,41.191,-8.7003,48.11,93,40,0.0,scattered clouds
187,Severo-Kurilsk,RU,50.6789,156.125,28.96,64,19,10.38,few clouds
188,Vangaindrano,MG,-23.35,47.6,74.1,94,54,1.34,broken clouds
